source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,1619,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",90.0,2.0,0.0,140000.0
data_prices_cleaned,1622,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",77.3,2.0,1.0,170000.0
data_prices_cleaned,1623,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",105.0,2.0,1.0,194000.0
data_prices_cleaned,1624,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",128.0,3.0,1.0,315000.0
data_prices_cleaned,1625,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",105.0,2.0,1.0,271000.0
data_prices_cleaned,1631,house,Ariana,Ghazela,Ghazela,"Ariana,Ghazela",250.0,6.0,2.0,565000.0
data_prices_cleaned,1635,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",100.0,3.0,2.0,240000.0
data_prices_cleaned,1639,house,Sousse,Sousse,Sousse,"Sousse,Sousse",71.0,2.0,5.0,220000.0
data_prices_cleaned,1646,apartment,Ariana,Chotrana 1,Chotrana 1,"Ariana,Chotrana 1",149.0,0.0,3.0,525000.0
data_prices_cleaned,1649,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",220.0,4.0,2.0,420000.0
data_prices_cleaned,1655,house,Sousse,Hammam Sousse,Hammam Sousse,"Sousse,Hammam Sousse",400.0,3.0,2.0,550000.0
data_prices_cleaned,1657,house,Sousse,Hammam Sousse,Hammam Sousse,"Sousse,Hammam Sousse",350.0,5.0,3.0,1300000.0
data_prices_cleaned,1658,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",450.0,6.0,3.0,1400000.0
data_prices_cleaned,1660,house,Sousse,Kantaoui,Kantaoui,"Sousse,Kantaoui",834.0,5.0,2.0,3000000.0
data_prices_cleaned,1662,house,Sfax,Route Mehdia,Route Mehdia,"Sfax,Route Mehdia",400.0,4.0,2.0,360000.0
data_prices_cleaned,1665,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",420.0,3.0,2.0,485000.0
data_prices_cleaned,1666,house,Tunis,La Marsa,La Marsa,"Tunis,La Marsa",661.0,1.0,1.0,650000.0
data_prices_cleaned,1669,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",90.0,2.0,1.0,279000.0
data_prices_cleaned,1671,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",71.18,1.0,1.0,242000.0
data_prices_cleaned,1672,apartment,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",81.0,2.0,1.0,185000.0
data_prices_cleaned,1673,house,Nabeul,Mrezga,Mrezga,"Nabeul,Mrezga",201.0,3.0,2.0,530000.0
data_prices_cleaned,1674,house,Tunis,La Marsa,La Marsa,"Tunis,La Marsa",110.0,,4.0,350000.0
data_prices_cleaned,1676,house,Monastir,Sahline,Sahline,"Monastir,Sahline",127.0,3.0,1.0,285000.0
data_prices_cleaned,1677,house,Nabeul,Bni Khiar,Bni Khiar,"Nabeul,Bni Khiar",460.0,4.0,4.0,1090000.0
data_prices_cleaned,1678,apartment,Tunis,La Marsa,La Marsa,"Tunis,La Marsa",200.0,2.0,3.0,670000.0
data_prices_cleaned,1680,apartment,Bizerte,Bizerte Nord,Bizerte Nord,"Bizerte,Bizerte Nord",102.0,5.0,1.0,350000.0
data_prices_cleaned,1682,apartment,Tunis,Le Kram,Le Kram,"Tunis,Le Kram",110.0,3.0,1.0,139000.0
data_prices_cleaned,1683,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",400.0,5.0,2.0,945000.0
data_prices_cleaned,1687,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",350.0,5.0,1.0,420000.0
