source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
tunisia_real_estate,6128,land,Ariana,Raoued,Raoued,Raoued,850.0,0.0,0.0,238000.0
tunisia_real_estate,6130,land,Nabeul,Hammamet,Hammamet,Hammamet,3180.0,0.0,0.0,254400.0
tunisia_real_estate,6134,land,Sousse,Bou Ficha,Bou Ficha,Bou Ficha,900.0,0.0,0.0,95000.0
tunisia_real_estate,6136,house,Tunis,El Kram,El Kram,El Kram,438.0,,,450000.0
tunisia_real_estate,6138,house,Tunis,El Omrane Superieur,El Omrane Superieur,El Omrane Superieur,200.0,,,410000.0
tunisia_real_estate,6143,land,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,2400.0,0.0,0.0,12000000.0
tunisia_real_estate,6146,house,Tunis,La Marsa,La Marsa,La Marsa,350.0,,,1100000.0
tunisia_real_estate,6147,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,1000.0,0.0,0.0,20000.0
tunisia_real_estate,6153,land,Nabeul,Hammamet,Hammamet,Hammamet,500.0,0.0,0.0,600000.0
tunisia_real_estate,6154,house,Ben Arous,Ezzahra,Ezzahra,Ezzahra,553.0,,,650000.0
tunisia_real_estate,6156,land,Bizerte,Ras Jebel,Ras Jebel,Ras Jebel,10000.0,0.0,0.0,444444.0
tunisia_real_estate,6157,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,207.0,0.0,0.0,72500.0
tunisia_real_estate,6162,land,Ben Arous,Ben Arous,Ben Arous,Ben Arous,307.0,0.0,0.0,325000.0
tunisia_real_estate,6164,house,Medenine,Djerba - Midoun,Djerba - Midoun,Djerba - Midoun,600.0,,,390000.0
tunisia_real_estate,6166,land,Sousse,Akouda,Akouda,Akouda,354.0,0.0,0.0,212400.0
tunisia_real_estate,6170,house,Nabeul,Hammamet,Hammamet,Hammamet,1020.0,,,950000.0
tunisia_real_estate,6172,house,Ben Arous,Ben Arous,Ben Arous,Ben Arous,310.0,,,350000.0
tunisia_real_estate,6175,house,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,325.0,,,650000.0
tunisia_real_estate,6178,house,Nabeul,Nabeul,Nabeul,Nabeul,335.0,,,450000.0
tunisia_real_estate,6179,house,Ariana,La Soukra,La Soukra,La Soukra,418.0,,,1050000.0
tunisia_real_estate,6182,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,156.0,,,702000.0
tunisia_real_estate,6187,land,Nabeul,Nabeul,Nabeul,Nabeul,830.0,0.0,0.0,1654000.0
tunisia_real_estate,6188,land,Ariana,Sidi Thabet,Sidi Thabet,Sidi Thabet,26000.0,0.0,0.0,780000.0
tunisia_real_estate,6189,apartment,Ben Arous,Nouvelle Medina,Nouvelle Medina,Nouvelle Medina,170.0,,,550000.0
tunisia_real_estate,6190,land,Ariana,Mnihla,Mnihla,Mnihla,142.0,0.0,0.0,35000.0
tunisia_real_estate,6191,apartment,Nabeul,Hammamet,Hammamet,Hammamet,103.0,,,465000.0
tunisia_real_estate,6193,house,Ben Arous,Megrine,Megrine,Megrine,100.0,,,220000.0
tunisia_real_estate,6194,apartment,Tunis,La Marsa,La Marsa,La Marsa,105.0,,,280000.0
tunisia_real_estate,6198,apartment,Tunis,Cite El Khadra,Cite El Khadra,Cite El Khadra,100.0,,,227000.0
tunisia_real_estate,6203,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,98.0,,,300000.0
tunisia_real_estate,6205,apartment,Nabeul,Soliman,Soliman,Soliman,80.0,,,87000.0
tunisia_real_estate,6214,house,Ben Arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Bou Mhel El Bassatine,170.0,,,570000.0
tunisia_real_estate,6215,land,Manouba,Mannouba,Mannouba,Mannouba,190.0,0.0,0.0,95000.0
tunisia_real_estate,6216,apartment,Tunis,El Menzah,El Menzah,El Menzah,160.0,,,420000.0
tunisia_real_estate,6220,land,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,1000.0,0.0,0.0,1200000.0
tunisia_real_estate,6222,house,Ben Arous,Megrine,Megrine,Megrine,500.0,,,1800000.0
tunisia_real_estate,6225,land,Ariana,Sidi Thabet,Sidi Thabet,Sidi Thabet,816.0,0.0,0.0,305000.0
tunisia_real_estate,6228,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,146.0,,,315000.0
tunisia_real_estate,6229,apartment,Ariana,Raoued,Raoued,Raoued,100.0,,,150000.0
tunisia_real_estate,6230,land,Tunis,La Marsa,La Marsa,La Marsa,200.0,0.0,0.0,80000.0
tunisia_real_estate,6234,house,Ariana,Raoued,Raoued,Raoued,280.0,,,470000.0
tunisia_real_estate,6235,apartment,Tunis,Ain Zaghouan,Ain Zaghouan,Ain Zaghouan,129.0,,,645000.0
tunisia_real_estate,6236,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,148.0,,,480000.0
tunisia_real_estate,6237,house,Tunis,Le Bardo,Le Bardo,Le Bardo,185.0,,,600000.0
tunisia_real_estate,6239,land,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Hammam El Ghezaz,223.0,0.0,0.0,45000.0
tunisia_real_estate,6242,land,Sousse,Hergla,Hergla,Hergla,303.0,0.0,0.0,181800.0
tunisia_real_estate,6247,house,Nabeul,Kelibia,Kelibia,Kelibia,343.0,,,650000.0
tunisia_real_estate,6249,house,Nabeul,Kelibia,Kelibia,Kelibia,250.0,,,230000.0
tunisia_real_estate,6255,land,Ben Arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Bou Mhel El Bassatine,701.0,0.0,0.0,2000000.0
tunisia_real_estate,6257,house,Tunis,La Marsa,La Marsa,La Marsa,331.0,,,2500000.0
tunisia_real_estate,6262,land,Tunis,La Marsa,La Marsa,La Marsa,4900.0,0.0,0.0,4400000.0
tunisia_real_estate,6265,land,Ben Arous,Mornag,Mornag,Mornag,10000.0,0.0,0.0,950000.0
tunisia_real_estate,6268,house,Ariana,Raoued,Raoued,Raoued,350.0,,,600000.0
tunisia_real_estate,6270,apartment,Ariana,La Soukra,La Soukra,La Soukra,55.0,,,165000.0
tunisia_real_estate,6271,house,Nabeul,Hammamet,Hammamet,Hammamet,201.0,,,750000.0
tunisia_real_estate,6272,house,Nabeul,Kelibia,Kelibia,Kelibia,140.0,,,285000.0
tunisia_real_estate,6274,house,Tunis,El Omrane,El Omrane,El Omrane,80.0,,,180000.0
tunisia_real_estate,6278,house,Manouba,Douar Hicher,Douar Hicher,Douar Hicher,55.0,,,140000.0
tunisia_real_estate,6279,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,420.0,,,1700000.0
tunisia_real_estate,6280,house,Ben Arous,Nouvelle Medina,Nouvelle Medina,Nouvelle Medina,433.0,,,395000.0
